Measurement_ID,District_ID,Date,Water_Table_Depth_m,Recharge_Rate
1,3,2023-03-01,23.05,1.41
2,12,2023-09-01,16.16,2.45
3,9,2023-08-28,14.04,3.5
4,21,2023-07-10,16.36,2.5
5,25,2023-12-04,12.12,1.53
6,3,2023-06-15,9.16,3.12
7,7,2023-11-19,14.81,2.0
8,23,2023-01-05,24.76,0.47
9,11,2023-08-04,9.35,4.4
10,31,2023-06-21,11.22,3.3
11,22,2023-11-28,15.23,2.01
12,7,2023-04-06,15.45,1.07
13,23,2023-06-06,16.95,3.24
14,11,2023-08-28,6.63,4.07
15,12,2023-01-12,20.42,0.45
16,29,2023-11-12,18.79,1.24
17,30,2023-10-31,20.07,1.77
18,28,2023-07-24,14.53,3.17
19,31,2023-05-05,15.2,1.27
20,17,2023-07-11,16.71,3.97
21,22,2023-09-05,13.54,4.77
22,26,2023-06-03,11.62,1.42
23,3,2023-04-30,11.06,1.34
24,33,2023-02-25,24.45,1.22
25,27,2023-08-07,15.43,3.71
26,18,2023-10-23,15.3,1.2
27,26,2023-10-31,22.06,1.03
28,2,2023-03-25,19.83,0.7
29,33,2023-03-27,16.63,1.23
30,20,2023-11-02,12.81,2.82
31,13,2023-10-18,15.41,2.29
32,9,2023-03-08,21.36,1.29
33,22,2023-01-28,26.14,0.57
34,6,2023-06-08,7.98,1.4
35,10,2023-06-27,16.27,4.7
36,30,2023-07-22,10.05,3.7
37,11,2023-08-24,6.28,1.88
38,1,2023-12-04,19.36,0.94
39,10,2023-04-13,20.05,1.26
40,12,2023-06-04,16.53,2.83
41,20,2023-02-11,22.86,1.06
42,12,2023-05-01,15.6,1.39
43,14,2023-08-12,10.75,1.31
44,6,2023-05-06,19.44,1.59
45,10,2023-12-17,11.3,0.83
46,24,2023-01-03,15.46,0.78
47,31,2023-03-23,19.73,0.51
48,23,2023-02-21,24.21,1.41
49,31,2023-10-09,15.96,1.87
50,26,2023-12-24,15.35,1.63
51,14,2023-08-30,14.06,1.48
52,25,2023-08-26,15.2,2.47
53,16,2023-02-19,14.79,0.65
54,25,2023-03-07,16.9,1.64
55,21,2023-03-10,16.21,1.61
56,26,2023-06-17,14.69,4.32
57,19,2023-12-12,14.09,2.84
58,28,2023-11-02,11.64,2.02
59,26,2023-10-01,12.48,1.78
60,5,2023-06-27,12.57,3.38
61,32,2023-12-09,13.77,0.97
62,2,2023-04-24,21.4,0.98
63,12,2023-05-01,16.79,1.7
64,24,2023-07-05,17.48,4.28
65,22,2023-09-14,15.94,1.56
66,1,2023-11-09,23.01,1.68
67,26,2023-02-09,17.25,1.5
68,15,2023-03-12,16.14,1.04
69,32,2023-04-07,15.18,0.96
70,3,2023-04-19,18.42,0.91
71,20,2023-08-11,8.73,2.95
72,6,2023-06-23,11.81,2.14
73,25,2023-12-01,21.43,1.72
74,12,2023-08-06,17.51,1.59
75,10,2023-05-26,17.95,0.48
76,20,2023-07-18,12.12,1.6
77,31,2023-01-18,17.79,0.77
78,17,2023-08-04,9.36,3.51
79,12,2023-03-25,28.18,0.53
80,26,2023-12-16,19.51,2.43
81,7,2023-08-27,11.66,4.43
82,6,2023-06-27,16.79,2.5
83,7,2023-12-02,16.49,2.26
84,26,2023-01-07,20.62,0.71
85,11,2023-06-13,15.52,4.04
86,9,2023-10-22,8.54,1.06
87,33,2023-07-16,16.05,1.49
88,30,2023-01-06,22.66,0.56
