Record_ID,District_ID,Date,Precipitation_mm,Historical_Avg_mm
1,8,2023-01-13,31.26,27.2
2,18,2023-05-06,44.36,20.67
3,15,2023-03-13,15.2,24.35
4,7,2023-12-13,56.09,52.72
5,6,2023-10-30,40.41,43.16
6,28,2023-01-17,56.24,39.42
7,2,2023-02-17,25.11,18.96
8,14,2023-04-30,16.8,10.28
9,33,2023-11-05,78.9,63.11
10,2,2023-10-15,58.08,49.45
11,13,2023-11-29,59.27,41.52
12,27,2023-04-23,24.47,17.2
13,29,2023-10-29,29.34,32.21
14,18,2023-01-04,30.52,23.12
15,11,2023-12-24,111.21,87.83
16,28,2023-06-24,192.75,153.45
17,18,2023-03-21,11.62,23.95
18,14,2023-06-22,181.35,147.99
19,7,2023-02-17,18.85,39.38
20,25,2023-02-19,41.3,39.87
21,23,2023-06-26,319.49,274.47
22,17,2023-01-23,13.43,11.6
23,30,2023-10-02,62.24,45.92
24,8,2023-07-13,278.24,257.01
25,6,2023-10-10,72.42,55.34
26,19,2023-11-18,88.69,52.92
27,24,2023-10-23,92.65,95.51
28,13,2023-12-27,19.94,58.63
29,5,2023-01-24,23.85,39.81
30,15,2023-05-29,17.53,17.83
31,6,2023-04-30,19.53,31.05
32,7,2023-07-14,256.53,206.81
33,18,2023-08-21,142.07,201.41
34,24,2023-03-25,34.29,25.65
35,24,2023-07-01,317.59,276.62
36,14,2023-12-10,56.99,57.58
37,18,2023-12-26,78.55,51.26
38,5,2023-11-08,113.25,89.81
39,11,2023-10-01,97.94,42.26
40,16,2023-03-25,31.53,31.9
41,30,2023-07-14,126.46,126.98
42,18,2023-11-24,49.78,45.97
43,15,2023-12-17,103.38,91.26
44,21,2023-01-29,1.7,25.03
45,15,2023-01-17,36.7,39.31
46,21,2023-07-25,129.16,150.55
47,18,2023-02-03,0.0,14.4
48,14,2023-10-18,49.24,54.6
49,21,2023-04-19,42.17,34.55
50,32,2023-07-22,128.77,177.38
51,30,2023-03-15,1.59,13.9
52,17,2023-03-13,20.5,34.7
53,16,2023-10-15,44.25,35.25
54,17,2023-10-27,82.82,47.24
55,28,2023-10-26,69.62,56.48
56,26,2023-07-05,68.44,133.06
57,15,2023-03-12,0.0,5.18
58,33,2023-09-10,153.62,131.35
59,6,2023-01-25,19.71,18.89
60,8,2023-03-20,15.44,20.35
61,11,2023-12-15,57.13,75.4
62,28,2023-11-02,89.54,98.64
63,5,2023-07-17,235.66,254.23
64,25,2023-11-02,39.82,27.91
65,30,2023-09-28,78.9,168.52
66,17,2023-10-11,95.61,87.09
67,1,2023-12-15,44.42,45.37
68,8,2023-12-16,98.52,88.15
69,18,2023-11-25,72.86,39.58
70,22,2023-02-27,0.97,9.84
71,19,2023-08-11,136.42,141.24
72,11,2023-08-21,167.48,189.36
73,1,2023-05-15,22.25,31.04
74,33,2023-04-02,0.89,7.83
75,33,2023-02-24,15.57,19.99
76,20,2023-11-24,96.78,93.64
77,33,2023-11-08,51.79,58.18
78,13,2023-03-20,8.94,11.4
79,24,2023-03-24,40.96,37.71
80,1,2023-11-03,119.18,74.28
81,21,2023-09-08,136.45,189.71
82,2,2023-02-27,11.96,9.21
83,24,2023-06-07,206.16,174.7
84,16,2023-01-30,24.32,17.12
85,16,2023-10-18,51.45,59.85
86,6,2023-02-13,39.89,38.22
87,32,2023-02-05,36.05,36.03
88,9,2023-03-07,32.95,23.88
89,31,2023-10-09,87.66,76.3
90,11,2023-05-16,39.83,38.05
91,28,2023-04-19,49.42,35.35
92,13,2023-06-09,252.26,228.35
93,26,2023-12-10,72.54,68.0
94,24,2023-08-13,239.11,251.3
95,29,2023-03-03,32.93,26.91
96,16,2023-04-26,24.96,12.23
97,5,2023-06-23,139.3,163.83
98,2,2023-10-29,2.57,27.92
99,15,2023-10-29,95.97,71.37
100,15,2023-01-04,3.0,18.49
101,5,2023-12-29,51.36,76.12
102,4,2023-04-28,12.46,22.36
103,5,2023-01-17,35.6,29.25
104,22,2023-02-06,4.16,6.37
105,33,2023-05-02,20.24,19.63
106,18,2023-12-09,66.65,56.76
107,32,2023-04-20,44.23,24.9
108,9,2023-10-20,45.14,34.58
109,31,2023-05-05,26.27,13.75
110,31,2023-07-28,220.2,209.9
111,13,2023-02-18,27.08,13.35
112,7,2023-12-04,60.03,42.87
113,28,2023-07-01,165.77,180.44
114,28,2023-07-30,328.77,182.34
115,30,2023-01-28,20.12,15.42
116,7,2023-02-01,27.2,28.69
117,26,2023-06-23,158.8,197.2
118,7,2023-05-08,8.04,8.21
119,13,2023-04-08,8.8,26.09
120,29,2023-03-13,41.35,38.12
121,28,2023-04-04,54.11,32.35
122,18,2023-08-25,293.19,274.98
123,16,2023-02-08,30.16,29.08
124,29,2023-10-09,89.54,87.89
125,7,2023-01-26,13.84,19.91
126,1,2023-02-17,19.94,36.22
127,16,2023-03-27,0.0,10.13
128,27,2023-09-06,216.57,213.01
129,31,2023-04-20,31.4,35.21
130,26,2023-01-31,42.27,36.77
131,11,2023-07-14,274.39,214.7
132,1,2023-07-19,154.12,197.07
133,17,2023-08-21,134.61,180.48
134,19,2023-08-05,210.28,172.84
135,32,2023-03-21,13.32,20.21
136,13,2023-06-01,144.3,211.44
137,14,2023-01-30,38.7,30.93
138,4,2023-06-10,263.19,239.07
139,4,2023-01-26,22.36,28.84
140,31,2023-09-15,132.53,196.43
141,11,2023-01-30,0.0,7.9
142,33,2023-02-11,46.78,33.07
143,12,2023-02-05,16.47,39.23
144,5,2023-12-12,40.24,28.26
145,16,2023-07-26,260.38,267.94
146,8,2023-10-19,82.86,77.16
147,16,2023-10-24,21.22,30.66
148,3,2023-11-14,35.97,47.09
149,6,2023-08-03,238.95,279.33
150,21,2023-05-14,49.11,30.8
151,14,2023-12-09,76.13,93.64
152,21,2023-05-03,13.93,16.75
153,17,2023-07-22,92.74,147.15
154,9,2023-12-10,73.98,42.2
155,20,2023-08-23,102.9,162.55
156,21,2023-02-07,11.61,20.86
157,1,2023-08-23,96.13,125.17
158,7,2023-02-07,6.89,26.1
159,14,2023-09-17,157.82,163.35
160,17,2023-03-09,33.13,25.34
161,23,2023-02-05,22.39,37.17
162,16,2023-07-09,194.33,185.8
163,19,2023-03-22,36.31,32.22
164,29,2023-10-06,52.98,53.26
165,20,2023-11-10,104.29,81.22
166,1,2023-12-08,60.18,67.68
167,20,2023-12-06,36.61,29.76
168,7,2023-03-10,54.19,31.25
169,17,2023-03-01,56.11,36.96
170,7,2023-10-11,93.8,81.78
171,10,2023-05-20,9.34,18.22
172,19,2023-11-06,30.88,43.86
173,14,2023-06-25,178.95,163.96
174,14,2023-12-18,76.61,81.77
175,17,2023-09-16,0.0,127.5
176,32,2023-05-09,30.88,34.1
177,4,2023-02-17,9.01,15.77
178,28,2023-05-22,50.19,19.72
179,3,2023-01-02,46.26,32.46
180,22,2023-03-08,42.91,36.61
181,17,2023-03-24,27.25,26.6
182,29,2023-10-10,77.56,72.75
183,28,2023-10-15,71.63,66.61
184,1,2023-02-27,18.71,24.16
185,5,2023-12-20,53.56,58.82
186,10,2023-10-07,74.97,64.27
187,3,2023-07-09,222.86,231.62
188,10,2023-08-09,318.62,254.73
189,9,2023-01-22,13.63,31.91
190,20,2023-07-06,207.73,153.46
191,3,2023-07-03,234.57,212.74
192,14,2023-12-16,18.26,59.51
193,16,2023-12-08,101.1,68.86
194,7,2023-07-01,112.23,148.81
195,27,2023-11-14,97.18,77.24
196,10,2023-05-02,20.21,23.03
197,11,2023-04-01,22.67,39.06
198,27,2023-01-13,39.81,33.76
199,12,2023-06-20,164.6,175.21
200,27,2023-12-09,64.61,66.15
201,16,2023-05-17,33.13,23.7
202,11,2023-12-26,28.92,34.66
203,7,2023-07-15,144.68,172.82
204,3,2023-08-29,184.67,196.98
205,15,2023-04-13,14.36,29.07
206,30,2023-06-29,182.24,180.37
207,20,2023-04-27,7.23,5.09
208,15,2023-01-13,24.21,23.78
209,13,2023-07-24,302.44,267.85
210,22,2023-05-23,14.23,23.59
211,5,2023-05-23,35.02,30.22
212,23,2023-11-25,72.64,88.33
213,33,2023-07-24,187.3,239.94
214,22,2023-01-15,0.0,8.67
215,8,2023-05-14,33.93,30.81
216,12,2023-10-25,62.23,88.05
217,17,2023-01-20,0.0,8.12
218,7,2023-11-02,54.85,50.72
219,28,2023-06-26,256.28,195.84
220,21,2023-08-12,137.89,196.73
221,33,2023-03-01,30.27,25.45
222,25,2023-10-23,101.93,68.99
223,13,2023-05-11,6.48,24.76
224,3,2023-12-29,69.75,92.47
225,28,2023-01-01,26.13,26.26
226,13,2023-07-06,99.15,172.86
227,28,2023-02-05,35.21,37.68
228,22,2023-11-16,43.25,88.81
229,21,2023-12-06,47.54,31.59
230,8,2023-06-03,127.38,120.85
231,33,2023-06-08,356.79,276.01
232,27,2023-06-17,247.99,251.34
233,26,2023-12-23,43.96,78.88
234,19,2023-10-11,140.22,87.89
235,9,2023-04-09,19.87,12.18
236,27,2023-12-07,48.44,64.74
237,25,2023-12-13,73.77,78.04
238,12,2023-11-12,65.73,62.96
239,20,2023-07-27,308.81,269.12
240,1,2023-06-05,103.26,179.08
241,19,2023-04-18,44.86,20.9
242,28,2023-10-24,79.81,40.13
243,21,2023-08-27,337.07,229.53
244,29,2023-08-15,219.89,247.09
245,14,2023-09-19,157.39,137.07
246,31,2023-03-28,27.03,19.3
247,6,2023-05-26,45.67,37.65
248,33,2023-12-06,75.34,79.12
249,22,2023-02-17,13.63,6.68
250,16,2023-12-11,91.24,81.29
251,20,2023-04-26,27.67,32.98
252,13,2023-03-17,18.75,13.25
253,2,2023-01-24,23.89,27.18
254,16,2023-09-01,241.5,214.13
255,5,2023-08-22,309.04,229.28
