Res_ID,District_ID,Date,Current_Capacity_TMC,Max_Capacity_TMC
1,29,2023-01-29,4.5,10.04
2,18,2023-08-27,2.38,8.47
3,29,2023-10-25,19.73,31.93
4,21,2023-12-27,4.25,13.72
5,17,2023-02-06,11.65,26.45
6,29,2023-08-04,12.26,18.33
7,32,2023-06-10,5.79,11.17
8,21,2023-04-14,1.85,10.85
9,5,2023-10-06,3.1,5.9
10,3,2023-08-20,14.26,19.95
11,14,2023-08-25,7.31,11.46
12,33,2023-02-03,5.95,19.55
13,23,2023-10-26,19.58,28.24
14,5,2023-06-14,10.9,14.24
15,32,2023-11-05,11.32,21.38
16,4,2023-10-13,7.69,27.38
17,20,2023-07-09,10.87,21.37
18,33,2023-11-08,6.51,16.9
19,25,2023-03-27,11.57,30.14
20,26,2023-10-09,6.01,9.56
21,14,2023-09-16,20.37,22.03
22,17,2023-10-09,9.32,17.74
23,33,2023-08-15,3.16,5.97
24,27,2023-04-16,3.09,14.37
25,2,2023-03-21,13.55,24.78
26,2,2023-12-17,23.61,29.15
27,31,2023-07-24,18.05,21.02
28,6,2023-03-19,1.81,8.8
29,16,2023-10-31,10.86,17.68
30,26,2023-12-15,1.13,10.83
31,7,2023-04-03,5.86,15.31
32,8,2023-11-20,21.89,29.27
33,2,2023-11-20,18.77,29.59
34,22,2023-02-15,3.04,14.35
35,7,2023-03-21,7.74,22.09
36,25,2023-12-02,4.18,6.8
37,7,2023-09-19,20.21,32.43
38,9,2023-01-14,14.39,30.84
39,32,2023-01-04,1.64,9.06
40,26,2023-07-18,24.51,29.02
41,3,2023-03-02,6.0,20.03
42,4,2023-08-21,0.32,4.72
43,9,2023-04-23,1.89,9.79
44,31,2023-03-17,6.58,30.13
45,10,2023-07-18,3.14,6.15
46,15,2023-04-25,7.12,31.11
47,18,2023-12-28,12.11,29.73
48,33,2023-12-06,2.74,7.61
49,28,2023-12-05,19.73,29.7
50,20,2023-11-08,17.51,24.23
51,30,2023-01-24,0.85,7.63
52,16,2023-06-11,25.22,26.71
53,3,2023-08-04,9.08,15.25
54,32,2023-06-17,10.4,12.84
55,30,2023-09-19,15.75,17.97
56,27,2023-09-23,18.24,30.24
57,15,2023-04-08,5.04,12.51
58,22,2023-07-01,21.41,24.72
59,29,2023-01-07,13.65,26.77
60,32,2023-08-15,7.15,11.23
61,16,2023-02-21,5.49,21.47
62,11,2023-12-03,22.65,29.09
63,14,2023-02-21,2.72,19.25
64,21,2023-06-18,6.57,9.3
65,22,2023-11-20,3.09,10.7
66,3,2023-12-15,3.79,6.84
67,21,2023-08-14,11.6,22.73
68,3,2023-07-03,9.36,15.96
69,9,2023-11-26,9.53,20.6
70,6,2023-09-26,28.77,31.57
71,31,2023-11-13,22.75,28.65
72,15,2023-09-22,13.03,16.46
73,18,2023-12-30,12.84,32.66
74,18,2023-05-15,5.62,21.33
75,3,2023-06-09,15.71,20.09
