district,year,month,population,rainfall,groundwater,temperature,water_usage,storage_capacity,urbanization_rate,region_type,water_source,rainfall_category,season,wsi,stress_level,water_stress_ratio,population_density,water_availability,high_risk_flag
Hyderabad,2015,1,8413414,1046,38.0,30,440,47,67.0,Semi-Urban,Mixed,High,Winter,0.3331,Medium,0.4055299539170507,8413.414,642.8000000000001,0
Hyderabad,2015,1,8413414,971,32.0,29,498,45,66.0,Semi-Urban,Groundwater,High,Winter,0.36,Medium,0.4960159362549801,8413.414,595.4,0
Hyderabad,2015,1,8413414,1020,35.0,26,398,51,65.0,Urban,Surface Water,High,Winter,0.3196,Medium,0.3768939393939394,8413.414,626.0,0
Hyderabad,2015,1,8413414,1004,45.0,27,355,54,70.0,Rural,Groundwater,High,Winter,0.3089,Medium,0.3380952380952381,8413.414,620.4,0
Hyderabad,2015,1,8413414,1002,34.0,26,471,44,67.0,Semi-Urban,Surface Water,High,Winter,0.3434,Medium,0.4541947926711668,8413.414,614.8,0
Hyderabad,2015,1,8413414,924,39.0,32,358,43,65.0,Semi-Urban,Groundwater,High,Winter,0.338,Medium,0.3713692946058091,8413.414,570.0,0
Hyderabad,2015,1,8413414,970,32.0,27,349,41,68.0,Rural,Surface Water,High,Winter,0.3303,Medium,0.3479561316051844,8413.414,594.8,0
Hyderabad,2015,2,8413414,1027,42.0,30,348,54,67.0,Rural,Groundwater,High,Winter,0.3101,Medium,0.3252336448598131,8413.414,632.9999999999999,0
Hyderabad,2015,2,8413414,1010,32.0,29,342,45,70.0,Semi-Urban,Surface Water,High,Winter,0.3269,Medium,0.3279002876318312,8413.414,618.8,0
Hyderabad,2015,2,8413414,954,43.0,32,486,51,66.0,Semi-Urban,Mixed,High,Winter,0.3521,Medium,0.4869739478957915,8413.414,589.6,0
Hyderabad,2015,2,8413414,1032,34.0,31,435,55,71.0,Urban,Mixed,High,Winter,0.3402,Medium,0.4076850984067479,8413.414,632.8,0
Hyderabad,2015,2,8413414,1046,37.0,29,380,55,69.0,Semi-Urban,Groundwater,High,Winter,0.3181,Medium,0.3505535055350554,8413.414,642.4,0
Hyderabad,2015,2,8413414,973,40.0,26,464,52,65.0,Urban,Groundwater,High,Winter,0.3344,Medium,0.4575936883629191,8413.414,599.8,0
Hyderabad,2015,2,8413414,940,43.0,26,429,46,65.0,Urban,Surface Water,High,Winter,0.3323,Medium,0.4359756097560975,8413.414,581.2,0
Hyderabad,2015,3,8413414,905,38.0,32,479,58,65.0,Rural,Mixed,High,Summer,0.3586,Medium,0.5074152542372882,8413.414,558.2,0
Hyderabad,2015,3,8413414,939,33.0,26,463,44,66.0,Urban,Groundwater,High,Summer,0.3513,Medium,0.4758478931140801,8413.414,576.6,0
Hyderabad,2015,3,8413414,965,37.0,26,412,51,66.0,Urban,Surface Water,High,Summer,0.3297,Medium,0.4107676969092722,8413.414,593.8,0
Hyderabad,2015,3,8413414,977,37.0,32,402,44,67.0,Semi-Urban,Mixed,High,Summer,0.3424,Medium,0.3960591133004926,8413.414,600.9999999999999,0
Hyderabad,2015,3,8413414,975,31.0,28,441,54,70.0,Semi-Urban,Mixed,High,Summer,0.3465,Medium,0.4379344587884806,8413.414,597.4,0
Hyderabad,2015,3,8413414,900,35.0,27,482,46,67.0,Urban,Mixed,Medium,Summer,0.3609,Medium,0.5149572649572649,8413.414,554.0,0
Hyderabad,2015,3,8413414,984,45.0,27,382,52,67.0,Urban,Groundwater,High,Summer,0.3153,Medium,0.3708737864077669,8413.414,608.4,0
Hyderabad,2015,4,8413414,1011,43.0,29,491,46,69.0,Urban,Surface Water,High,Summer,0.3441,Medium,0.4654028436018957,8413.414,623.8000000000001,0
Hyderabad,2015,4,8413414,954,43.0,29,353,46,67.0,Urban,Mixed,High,Summer,0.323,Medium,0.3537074148296593,8413.414,589.6,0
Hyderabad,2015,4,8413414,990,40.0,30,402,45,68.0,Urban,Surface Water,High,Summer,0.3339,Medium,0.3899127061105722,8413.414,610.0,0
Hyderabad,2015,4,8413414,968,34.0,31,415,46,70.0,Urban,Surface Water,High,Summer,0.3493,Medium,0.4137587238285145,8413.414,594.4,0
Hyderabad,2015,4,8413414,924,44.0,26,456,52,65.0,Urban,Surface Water,High,Summer,0.3361,Medium,0.4705882352941176,8413.414,572.0,0
Hyderabad,2015,4,8413414,969,38.0,28,477,44,65.0,Urban,Surface Water,High,Summer,0.3476,Medium,0.4732142857142857,8413.414,596.6,0
Hyderabad,2015,4,8413414,991,38.0,32,399,48,68.0,Rural,Surface Water,High,Summer,0.3377,Medium,0.387378640776699,8413.414,609.8000000000001,0
